Date,Open,High,Low,Close,Adj Close,Volume
2015-06-12,79.369446,79.652382,78.900566,79.248184,61.871132,696678
2015-06-15,79.062248,79.506874,78.779305,79.005661,61.681778,1276955
2015-06-16,79.054161,79.789818,78.860146,79.595795,62.142509,639529
2015-06-17,79.587715,80.476959,78.924820,80.274857,62.672653,683937
2015-06-18,80.428459,82.118027,80.161682,81.883591,63.928642,1237495
2015-06-19,81.406631,81.754242,80.654808,80.921585,63.177570,1544766
2015-06-22,81.075180,81.544060,80.315277,80.444626,62.805210,1459413
2015-06-23,80.331444,81.576393,79.717056,79.838318,62.331852,1073345
2015-06-24,79.975746,80.121262,78.601456,78.601456,61.366196,1472649
2015-06-25,78.698463,78.706551,77.655617,77.655617,60.627750,1434302
2015-06-26,77.752625,78.455940,77.324173,78.164917,61.025379,1502831
2015-06-29,78.084076,78.447861,76.653191,76.709785,59.889313,1104394
2015-06-30,77.922394,77.922394,76.434921,76.742119,59.914558,1162656
2015-07-01,75.941795,77.946648,75.521423,77.946648,60.854977,1128886
2015-07-02,78.334679,79.037994,77.558609,77.825386,60.760292,856128
2015-07-06,77.445435,78.496361,77.445435,78.011314,60.905457,897072
2015-07-07,78.512527,79.482620,78.358932,79.207764,61.839546,1163027
2015-07-08,78.779305,79.531120,78.504448,78.625710,61.385117,511500
2015-07-09,78.965240,79.547295,78.124496,78.310425,61.138969,654126
2015-07-10,78.795471,79.312851,78.326599,78.520615,61.303089,882476
2015-07-13,78.472107,79.506874,77.833466,78.286179,61.120049,981931
2015-07-14,78.423607,78.746971,77.849632,78.447861,61.246277,595863
2015-07-15,78.302345,78.803558,78.035568,78.617622,61.378826,583988
2015-07-16,78.932899,80.000000,78.787392,79.409866,61.997345,635818
2015-07-17,79.329025,79.450279,78.504448,78.666130,61.416679,1437270
2015-07-20,78.593369,78.649963,78.019402,78.245758,61.088482,1027576
2015-07-21,78.310425,78.787392,77.962814,77.987068,60.886528,1144472
2015-07-22,78.059822,78.658043,77.914307,78.367020,61.183174,1343135
2015-07-23,78.229591,78.253838,76.911880,77.518188,60.520466,884455
2015-07-24,77.380760,77.954727,77.138237,77.631363,60.608818,736386
2015-07-27,77.534355,78.391266,77.469688,77.857719,60.785538,975003
2015-07-28,77.793045,78.140663,77.380760,77.825386,60.760292,616397
2015-07-29,77.784966,78.666130,77.122070,78.455940,61.252583,857488
2015-07-30,78.415520,78.536781,77.712204,77.954727,60.861259,562340
2015-07-31,78.940987,79.320938,78.544868,78.860146,61.568161,1341279
2015-08-03,78.884399,79.329025,78.415520,79.126923,61.776424,635571
2015-08-04,78.900566,79.183510,77.388847,78.164917,61.025379,967087
2015-08-05,78.472107,78.496361,77.130157,77.316086,60.362663,993311
2015-08-06,77.316086,77.445435,75.869041,76.936134,60.066021,1068644
2015-08-07,76.580437,77.687958,75.755859,76.903801,60.440895,892990
2015-08-10,77.405014,77.744545,77.000809,77.469688,60.885647,938388
2015-08-11,77.380760,78.464027,76.976555,78.051735,61.343090,908700
2015-08-12,77.655617,78.350845,77.413094,78.334679,61.565456,701750
2015-08-13,78.075989,78.884399,77.421181,78.455940,61.660759,910185
2015-08-14,78.294258,78.447861,77.679871,78.358932,61.584534,759271
2015-08-17,78.334679,79.110748,77.679871,78.367020,61.590889,804174
2015-08-18,78.221504,78.641876,77.849632,78.156830,61.425667,741210
2015-08-19,77.760712,77.995148,76.839127,77.146324,60.631504,726119
2015-08-20,76.774452,76.976555,76.168152,76.337914,59.996159,1006052
2015-08-21,75.877121,76.257072,74.470490,74.502831,58.553890,1420447
2015-08-24,74.502831,74.801941,70.444626,70.679062,55.548698,1870715
2015-08-25,72.231209,72.231209,68.496361,68.552948,53.877724,1474380
2015-08-26,69.725143,71.374290,69.070328,71.236862,55.987087,1632840
